gene,component,n_mut,n_wt,effect,p,q
DLG4,C10,102,8590,0.15272823721170425,1.0581245798313478e-05,0.004252228762618488
COL4A2,C1,249,8443,0.07558392733335495,1.0726772046432158e-05,0.004294565635488435
SNAPC3,C10,29,8663,0.24496330320835114,1.0847696308044675e-05,0.004316568446730711
GPR37,C1,116,8576,0.08683738112449646,1.0862491694455932e-05,0.004316568446730711
MYCBP2,C2,421,8271,0.025948360562324524,1.0921957674085378e-05,0.004324124398255668
NCAPD3,C1,179,8513,0.10058511793613434,1.0973202917025415e-05,0.0043283819151968585
RNF43,C5,222,8470,0.09894240647554398,1.101407567401471e-05,0.00432853173988778
NSD1,C10,352,8340,0.06954007782042027,1.1163172149553277e-05,0.004371056593767938
ANKRD11,C1,296,8396,0.07312371302396059,1.132351909550032e-05,0.004393238934643767
PHRF1,C1,206,8486,0.0805710107088089,1.1326426649690256e-05,0.004393238934643767
BAI3,C1,453,8239,0.0509757399559021,1.1343118039605593e-05,0.004393238934643767
POLQ,C2,348,8344,0.03581419587135315,1.1402338235012315e-05,0.004400232303140348
AFF1,C1,153,8539,0.11047910153865814,1.152663370474077e-05,0.004432197973028666
PPP2CB,C2,36,8656,0.10899009555578232,1.1650282694949044e-05,0.004454461973103332
AMPH,C1,198,8494,0.08111278712749481,1.1667876744395795e-05,0.004454461973103332
CDH1,C6,246,8446,0.07702472805976868,1.1907469427142526e-05,0.004529753921294759
ZNF646,C1,195,8497,0.07750198245048523,1.201724301750277e-05,0.004548231134321965
UBN2,C1,132,8560,0.07165976613759995,1.2041137283089321e-05,0.004548231134321965
KIF3B,C1,103,8589,0.09706360101699829,1.2153600047055958e-05,0.0045745465867256824
SYNE1,C2,1061,7631,0.01699163392186165,1.248617853237804e-05,0.004683236983849415
CCDC11,C1,92,8600,0.11764847859740257,1.2697171914636376e-05,0.00471547422547777
CHD3,C1,236,8456,0.069699976593256,1.271941960874095e-05,0.00471547422547777
ERCC6,C2,132,8560,0.06865074066445231,1.2733044569000556e-05,0.00471547422547777
DENND4A,C1,176,8516,0.0981810986995697,1.274857853580186e-05,0.00471547422547777
KIAA1211,C1,231,8461,0.07023317366838455,1.2905601446364721e-05,0.004757093697277942
VCAM1,C1,160,8532,0.09132885187864304,1.295445998929838e-05,0.0047586940034915455
HS6ST2,C2,76,8616,0.06758173182606697,1.3031980210732223e-05,0.004770695842309516
RHPN1,C1,79,8613,0.09992741048336029,1.3076390901405928e-05,0.004770695842309516
HELB,C1,150,8542,0.10715630277991295,1.31248701155961e-05,0.00477209563223388
ZNF324,C1,62,8630,0.14920463785529137,1.3283654673365174e-05,0.004813456101573029
LPHN1,C1,150,8542,0.08015156164765358,1.3403150465680961e-05,0.004840348554660243
FGFR3,C5,158,8534,0.10313429683446884,1.3481982720126602e-05,0.004850040981326565
SF3B1,C10,225,8467,0.09271538257598877,1.35608984708217e-05,0.004850040981326565
DNAJA1,C1,47,8645,0.16434689611196518,1.3592964311377968e-05,0.004850040981326565
LPHN2,C1,285,8407,0.07114053517580032,1.3611475587467908e-05,0.004850040981326565
PVRL3,C1,94,8598,0.10684474930167198,1.3949442820188402e-05,0.0049492460440187565
PJA1,C1,104,8588,0.11339098587632179,1.39824905075369e-05,0.0049492460440187565
DNAH2,C1,455,8237,0.05926065146923065,1.4243703428302888e-05,0.0050250657480919655
NPHP1,C1,112,8580,0.08584320545196533,1.4482828010980904e-05,0.005092619681124391
PDZD8,C1,125,8567,0.11049297451972961,1.4607989392861499e-05,0.005111432621440246
CAMSAP1,C1,162,8530,0.08358236029744148,1.4631963610993068e-05,0.005111432621440246
NCAM2,C1,242,8450,0.07237219158560038,1.4691563442765496e-05,0.005115307490213472
LRP2,C1,661,8031,0.04829755425453186,1.4738762039606247e-05,0.005115307490213472
LYST,C1,367,8325,0.08327125012874603,1.49406348680733e-05,0.00514472496842162
SH2B1,C1,97,8595,0.10508076101541519,1.4944245588335622e-05,0.00514472496842162
YY1AP1,C2,122,8570,0.04774589091539383,1.4971382635707564e-05,0.00514472496842162
EFCAB5,C1,177,8515,0.07487931102514267,1.501603605511474e-05,0.00514472496842162
LAMA1,C1,477,8215,0.05880618095397949,1.5179683185033451e-05,0.005184177040726312
MN1,C1,151,8541,0.09724496304988861,1.5247473397084425e-05,0.005190744956225276
PXDN,C1,303,8389,0.07273514568805695,1.5587061307838284e-05,0.005289506366865654
