,C1,C2,C5,C6,C7,C10,cancer_type
TCGA-OR-A5JW-01,-0.11686885356903076,-0.03741531819105148,-0.2416824996471405,-0.01999582350254059,0.08407945930957794,-0.09109315276145935,ACC
TCGA-OR-A5JX-01,-0.020513102412223816,-0.06425543874502182,-0.21211187541484833,0.3285006284713745,-0.09874337166547775,-0.11865999549627304,ACC
TCGA-OR-A5JY-01,-0.09449750930070877,0.13216722011566162,0.13041718304157257,-0.2780756652355194,-0.02895081788301468,-0.19036559760570526,ACC
TCGA-OR-A5JZ-01,-0.07339343428611755,0.06656375527381897,0.023904472589492798,-0.012604586780071259,-0.40663066506385803,-0.005554884672164917,ACC
TCGA-OR-A5K0-01,-0.007639944553375244,0.3319597840309143,0.16526344418525696,-0.27814584970474243,0.07615381479263306,0.6423470377922058,ACC
TCGA-OR-A5K1-01,0.013187463395297527,0.06096598505973816,0.23433491587638855,0.03547237813472748,-0.11241427063941956,0.2302207499742508,ACC
TCGA-OR-A5K2-01,-0.049599263817071915,0.056921541690826416,-0.20707295835018158,0.06775114685297012,0.1590609848499298,0.1381974220275879,ACC
TCGA-OR-A5K3-01,0.16622601449489594,0.21657323837280273,0.09083838015794754,-0.020126357674598694,-0.031932588666677475,-0.252005398273468,ACC
TCGA-OR-A5K4-01,-0.08948846906423569,0.04147160053253174,0.286770224571228,0.12411651015281677,0.37189981341362,-0.05847776681184769,ACC
TCGA-OR-A5K5-01,0.24680261313915253,0.13855984807014465,-0.07127300649881363,-0.29104864597320557,0.40469518303871155,0.2715703845024109,ACC
TCGA-OR-A5K6-01,0.22788795828819275,0.04620099812746048,0.046442076563835144,-0.10383427143096924,0.151971697807312,0.2164604663848877,ACC
TCGA-OR-A5K8-01,-0.13311506807804108,-0.09840589016675949,-0.2967318892478943,0.3494935929775238,0.10625189542770386,-0.15549373626708984,ACC
TCGA-OR-A5K9-01,0.0653691291809082,0.16329078376293182,-0.12293784320354462,0.1285277009010315,0.061361849308013916,-0.1690022349357605,ACC
