drug,cdi,moa,n_targets,target_mut_freq,target_expr_var,target_expr_mean
Trametinib,0.2803556698458486,,2,0.02,0.009788219305853848,4.39545176283465
Vilanterol,0.2704819855319081,,1,0.0,0.6644709429713714,2.8778780071369368
Capmatinib,0.2702542405727213,,1,0.06,0.04991946660930168,4.6228820436166975
Tazarotene,0.267378441480949,,3,0.0,0.13039045744021013,3.8952272884128796
Relugolix,0.2666591992073984,,1,0.0,0.05794505793490327,2.193322863728555
BI-3406,0.2660171006486889,,2,0.25,0.010998279455901715,4.612789469401252
Sodium Salicylate,0.2656630801520538,,1,0.0,0.2178087595470829,4.099292348684719
Elimusertib hydrochloride,0.2635120192426295,,1,0.0,0.008539117270808087,4.469297444828179
Amsacrine,0.2613696376945043,,1,0.0,0.01027853855499154,4.694148901372842
AZD-8055,0.261285720400437,,1,0.04,0.009394665625205188,4.306759566709168
Furosemide,0.2596906645008208,,2,0.0,0.08452205271391933,3.1398885086195643
Everolimus,0.2574763197461152,,2,0.02,0.0088393540601923,4.374775195559964
HI-TOPK-032,0.2571980101175087,,1,0.0,0.05148651408073889,4.13079323046194
Radotinib,0.2532220276615113,,1,0.04,0.014003782330415174,4.572441967571391
Balsalazide (sodium hydrate),0.251702077004343,,2,0.0,0.17573884855986907,4.212483221999356
c-Kit-IN-1,0.248148502695929,,5,0.012,0.5545622101027022,2.7333310926373846
(R)-Verapamil (hydrochloride),0.2459359573231675,,1,0.0,0.24372633524566797,3.3473067034270803
Tucidinostat,0.2449704475273837,,6,0.0,0.02882315142683171,4.223025907008874
Lumateperone (tosylate),0.2447754053613408,,2,0.0,0.46767164369298,1.6995834758705497
Goserelin (acetate),0.2424891798595591,,1,0.0,0.05794505793490327,2.193322863728555
Neratinib,0.2414611174390507,,2,0.07,0.04934680323550705,4.429522107752083
Atazanavir (sulfate),0.2406967460477525,,1,0.0,0.17577695153395642,0.94681272430004
Adenosine,0.2400230063138752,,4,0.0,0.22647381981986356,2.6137942257997304
Larotrectinib,0.2363915608769054,,3,0.0,0.31871118139861293,2.7050667040522534
Capivasertib,0.2342833493665284,,7,0.002857142857142857,0.02751341547559389,4.374856089076871
Sulfisoxazole,0.2332722555674985,,2,0.0,0.7044828817813176,2.410371618113935
Mitoxantrone (dihydrochloride),0.2332388159809504,,3,0.0,0.0170525056554088,4.6701559691564904
Bexarotene,0.2322471334806108,,3,0.0,0.18611575992517324,3.052350564426311
Retinoic acid,0.2316619466718884,,4,0.0,0.10543321076196126,4.051155711290344
Tolcapone,0.2313972096276908,,1,0.0,0.038972856830423785,4.190992010244901
Temsirolimus,0.229824386733979,,1,0.04,0.009394665625205188,4.306759566709168
RMC-6236,0.2291208094276253,,1,0.48,0.014669483798447139,4.502414052618064
Lidocaine (hydrochloride),0.2288605999152084,,3,0.02,0.01073267072481906,4.579069974737631
Vemurafenib,0.2287743140293651,,1,0.18,0.00673003945323886,4.718053959585722
Peretinoin,0.2287224799769152,,3,0.0,0.18611575992517324,3.052350564426311
EX229,0.2287213884203791,,1,0.0,0.008666267774340502,4.446426129834071
venetoclax,0.2283906607245664,,1,0.0,0.15962973283472043,3.841158018306938
Belumosudil (mesylate),0.2279589725297808,,2,0.0,0.013662154498562111,4.683267474413933
Elagolix sodium,0.2232512864284959,,1,0.0,0.05794505793490327,2.193322863728555
Vandetanib,0.2220729142613075,,2,0.04,0.47841358877558987,3.1477941934975733
5-Fluorouracil,0.2184496412632893,,1,0.0,0.03129200166553565,4.185018458613248
Ixazomib,0.2162107809565245,,1,0.0,0.004943497848039448,4.278076033571266
Belinostat,0.215218994364016,,1,0.0,0.011839532771489138,4.153222381732059
Olanzapine,0.2145180723653018,,13,0.0,0.364649495507447,2.215545822153707
palbociclib,0.2144594952350297,,2,0.0,0.02741121626705732,4.370362146031274
Pasireotide (acetate),0.2143205686274654,,4,0.0,0.484601232423375,0.9551627458685444
