perturbation,n_contexts,n_pairs,shared,context_specific,index,estimable,pert_iname,key,moa-fine
BRD-A24396574,15,4765,0.6158136632199862,0.10320039750092062,0.14353043026369827,True,celastrol,celastrol,
BRD-K49669041,13,4043,0.1415656340087264,0.023705949757910676,0.1434363319914898,True,BX-912,bx912,pyruvate dehydrogenase kinase inhibitor
BRD-K09537769,19,2401,0.13601128550156655,0.022156304249150677,0.140081190363149,True,NU-7026,nu7026,DNA dependent protein kinase inhibitor|mTOR inhibitor|PI3K inhibitor
BRD-K04801023,13,4006,0.10764114182890336,0.017298865071261597,0.1384573724658467,True,SAR-245408,sar245408,
BRD-K72414522,17,7495,1.287468231632596,0.20226922792403235,0.13577508347291686,True,AZD-5438,azd5438,CDK inhibitor
BRD-K57282030,15,5047,0.3752968529739031,0.05805967262296356,0.13397668938525234,True,JW-7-24-1,jw7241,
BRD-K93747373,13,3958,0.6195598400491881,0.09528016698811981,0.13328880036109547,True,HG-5-113-01,hg511301,
BRD-K19220233,15,4729,1.1583255807633388,0.17607591437810072,0.13195122683779487,True,JNK-9L,jnk9l,
BRD-K02965346,13,3862,0.13594633731104078,0.020599477051902026,0.13158753005138343,True,SU-11274,su11274,hepatocyte growth factor receptor inhibitor|tyrosine kinase inhibitor
BRD-K12502280,14,4131,0.4430810888364954,0.06433684463196207,0.12679261095915018,True,TG-101348,tg101348,
BRD-K99545815,17,7528,0.6567988654754999,0.0948105386054711,0.12614336394766176,True,PF-562271,pf562271,focal adhesion kinase inhibitor
BRD-A41692738,13,3883,0.11141295609470644,0.014479059680795861,0.11501173916077198,True,TGX-221,tgx221,PI3K inhibitor
BRD-K13566078,16,4956,0.42775903613102145,0.055192735189631185,0.11428208460381924,True,BMS-345541,bms345541,IKK inhibitor
BRD-K00337317,13,4075,0.25569605918563143,0.03216991916122391,0.11175311284080171,True,NU-7441,nu7441,DNA dependent protein kinase inhibitor
BRD-K93788137,13,3882,0.6686431879088992,0.07842811330673123,0.10498076044296363,True,PF-431396,pf431396,focal adhesion kinase inhibitor
BRD-K04853698,13,3623,0.7637043234816989,0.08535128990756181,0.1005249698154123,True,LDN-193189,ldn193189,bone morphogenic protein inhibitor
BRD-K04887706,15,6424,0.15815142882861508,0.01753896947612008,0.09982884463440467,True,AKT-inhibitor-1-2,aktinhibitor12,
BRD-K97764662,15,4928,0.11126642697090305,0.011858362958919285,0.09631174165396114,True,PD-173074,pd173074,FGFR inhibitor|VEGFR inhibitor
BRD-K83189926,19,2779,0.1067092795793876,0.009971662561711147,0.08546093628257403,True,UNC-1215,unc1215,L3MBTL antagonist
BRD-K73319509,24,4663,0.0675744171719101,0.005612570960173618,0.07668809857353835,True,PF-04217903,pf04217903,c-Met inhibitor
BRD-K53972329,14,4364,0.1390734412045864,0.011408999926143326,0.07581615396730507,True,ruxolitinib,ruxolitinib,JAK inhibitor
BRD-K02123250,21,4746,0.0648309700191021,0.004949668995380499,0.0709318381901493,True,JNJ-38877605,jnj38877605,tyrosine kinase inhibitor
BRD-K82181189,19,2472,0.09900603130003204,0.007484821177376502,0.07028604808064962,True,ischemin,ischemin,
BRD-K19477839,21,4800,0.0658334105098543,0.0026862980139132258,0.03920474957918751,True,SGX523,sgx523,hepatocyte growth factor receptor inhibitor
BRD-K07691486,16,6981,0.11811917432618939,0.003826498091468943,0.03137871164762094,True,roscovitine,roscovitine,CDK inhibitor
BRD-K75308783,22,2520,0.06926738745287846,0.0007001865935568016,0.010007301283478971,True,SAR-245409,sar245409,PI3K inhibitor
BRD-K41918892,19,2449,0.07683212535471476,0.0,0.0,True,A-769662,a769662,AMPK activator
